artist,title,spotifyID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Radiohead,Creep,70LcF31zb1H0PyJoS1Sx1r,0.515,0.43,7.0,-9.935,1.0,0.0372,0.0097,0.000133,0.129,0.104,91.844,audio_features,70LcF31zb1H0PyJoS1Sx1r,spotify:track:70LcF31zb1H0PyJoS1Sx1r,https://api.spotify.com/v1/tracks/70LcF31zb1H0PyJoS1Sx1r,https://api.spotify.com/v1/audio-analysis/70LcF31zb1H0PyJoS1Sx1r,238640.0,4.0
"David Guetta, Anne-Marie & Coi Leray",Baby Don't Hurt Me,0838zv1ZStd9x0rUGAHZ9Y,0.657,0.957,7.0,-6.016,1.0,0.0793,0.122,0.0319,0.218,0.223,128.046,audio_features,0838zv1ZStd9x0rUGAHZ9Y,spotify:track:0838zv1ZStd9x0rUGAHZ9Y,https://api.spotify.com/v1/tracks/0838zv1ZStd9x0rUGAHZ9Y,https://api.spotify.com/v1/audio-analysis/0838zv1ZStd9x0rUGAHZ9Y,178125.0,4.0
Alessandra,Queen Of Kings,14LdhxElpZS0rKVV4nxtdA,0.563,0.908,4.0,-4.25,0.0,0.0868,0.0696,0.0,0.328,0.171,125.972,audio_features,14LdhxElpZS0rKVV4nxtdA,spotify:track:14LdhxElpZS0rKVV4nxtdA,https://api.spotify.com/v1/tracks/14LdhxElpZS0rKVV4nxtdA,https://api.spotify.com/v1/audio-analysis/14LdhxElpZS0rKVV4nxtdA,147980.0,4.0
SZA,Snooze,4iZ4pt7kvcaH6Yo8UoZ4s2,0.559,0.551,5.0,-7.231,1.0,0.132,0.141,0.0,0.11,0.392,143.008,audio_features,4iZ4pt7kvcaH6Yo8UoZ4s2,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/tracks/4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/audio-analysis/4iZ4pt7kvcaH6Yo8UoZ4s2,201800.0,4.0
Becky G & Peso Pluma,Chanel,nan,,,,,,,,,,,,,,,,,,
Kali,Area Codes,7sliFe6W30tPBPh6dvZsIH,0.823,0.388,1.0,-10.867,1.0,0.491,0.0187,0.0,0.0876,0.507,154.569,audio_features,7sliFe6W30tPBPh6dvZsIH,spotify:track:7sliFe6W30tPBPh6dvZsIH,https://api.spotify.com/v1/tracks/7sliFe6W30tPBPh6dvZsIH,https://api.spotify.com/v1/audio-analysis/7sliFe6W30tPBPh6dvZsIH,139326.0,4.0
BTS,The Planet,4IJsVXbSeGPUrgwpVoHmlg,0.665,0.848,0.0,-3.619,1.0,0.0708,0.000482,0.0,0.2,0.687,119.986,audio_features,4IJsVXbSeGPUrgwpVoHmlg,spotify:track:4IJsVXbSeGPUrgwpVoHmlg,https://api.spotify.com/v1/tracks/4IJsVXbSeGPUrgwpVoHmlg,https://api.spotify.com/v1/audio-analysis/4IJsVXbSeGPUrgwpVoHmlg,178156.0,4.0
Glass Animals,Heat Waves,3USxtqRwSYz57Ewm6wWRMp,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,3USxtqRwSYz57Ewm6wWRMp,spotify:track:3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/audio-analysis/3USxtqRwSYz57Ewm6wWRMp,238805.0,4.0
Manuel Turizo,La Bachata,5ww2BF9slyYgNOk37BlC4u,0.835,0.679,7.0,-5.329,0.0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,audio_features,5ww2BF9slyYgNOk37BlC4u,spotify:track:5ww2BF9slyYgNOk37BlC4u,https://api.spotify.com/v1/tracks/5ww2BF9slyYgNOk37BlC4u,https://api.spotify.com/v1/audio-analysis/5ww2BF9slyYgNOk37BlC4u,162638.0,4.0
The Weeknd Featuring Daft Punk,Starboy,nan,,,,,,,,,,,,,,,,,,
